EVOLVED,PARTYID,EMAILHR,EMAILMIN
True,INDEPENDENT,12,0
NA,"IND,NEAR DEM",0,30
NA,NOT STR REPUBLICAN,NA,NA
True,NOT STR REPUBLICAN,0,10
NA,NOT STR DEMOCRAT,NA,NA
True,NOT STR DEMOCRAT,2,0
True,NOT STR REPUBLICAN,40,0
NA,"IND,NEAR DEM",NA,NA
False,STRONG DEMOCRAT,0,0
NA,STRONG REPUBLICAN,NA,NA
NA,STRONG DEMOCRAT,2,0
True,STRONG REPUBLICAN,NA,NA
NA,"IND,NEAR DEM",10,0
NA,STRONG DEMOCRAT,NA,NA
True,INDEPENDENT,0,30
NA,INDEPENDENT,NA,NA
NA,NA,NA,NA
NA,STRONG DEMOCRAT,1,0
NA,"IND,NEAR DEM",1,0
True,STRONG DEMOCRAT,2,0
True,STRONG DEMOCRAT,25,0
NA,INDEPENDENT,NA,NA
NA,"IND,NEAR DEM",1,0
NA,INDEPENDENT,NA,NA
NA,"IND,NEAR REP",NA,NA
NA,STRONG DEMOCRAT,NA,NA
NA,STRONG DEMOCRAT,NA,NA
NA,INDEPENDENT,0,0
NA,NOT STR DEMOCRAT,0,10
NA,"IND,NEAR REP",NA,NA
True,"IND,NEAR DEM",1,0
NA,INDEPENDENT,NA,NA
True,"IND,NEAR REP",2,0
NA,NOT STR DEMOCRAT,NA,NA
NA,STRONG DEMOCRAT,0,0
True,STRONG REPUBLICAN,0,30
NA,"IND,NEAR DEM",5,0
NA,INDEPENDENT,2,0
NA,STRONG REPUBLICAN,NA,NA
NA,STRONG DEMOCRAT,NA,NA
NA,"IND,NEAR DEM",NA,NA
False,STRONG DEMOCRAT,1,0
NA,NOT STR REPUBLICAN,7,0
NA,NOT STR DEMOCRAT,NA,NA
NA,NOT STR REPUBLICAN,1,30
NA,STRONG DEMOCRAT,NA,NA
True,NOT STR DEMOCRAT,60,0
NA,"IND,NEAR DEM",4,0
NA,INDEPENDENT,NA,NA
NA,STRONG DEMOCRAT,20,0
NA,NOT STR DEMOCRAT,45,0
True,STRONG DEMOCRAT,2,0
NA,NOT STR REPUBLICAN,1,0
NA,"IND,NEAR REP",NA,NA
False,STRONG REPUBLICAN,0,0
NA,"IND,NEAR DEM",7,0
NA,NOT STR DEMOCRAT,2,0
True,NOT STR DEMOCRAT,25,0
NA,STRONG DEMOCRAT,NA,NA
NA,STRONG DEMOCRAT,0,45
NA,INDEPENDENT,NA,NA
NA,INDEPENDENT,0,20
NA,INDEPENDENT,NA,NA
NA,NOT STR DEMOCRAT,1,0
False,NOT STR DEMOCRAT,NA,NA
NA,STRONG DEMOCRAT,NA,NA
